City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed
busselton,100,AU,1561478206,81,-33.64,57.0,21.83
klaksvik,100,FO,1561478206,81,62.23,53.6,12.75
diego de almagro,72,CL,1561478208,70,-26.39,55.67,4.81
carndonagh,40,IE,1561478208,77,55.25,64.4,6.93
marawi,100,PH,1561478209,92,8.0,77.0,4.0
adolfo lopez mateos,0,MX,1561478210,43,26.8,91.0,5.01
vao,98,EE,1561478210,38,59.1,65.39,7.45
rikitea,6,PF,1561478212,86,-23.12,71.15,13.11
bluff,62,AU,1561478213,51,-23.58,56.57,5.86
albany,90,US,1561478216,94,42.65,73.0,4.7
saint-augustin,0,FR,1561478218,58,44.83,91.0,8.05
ilulissat,40,GL,1561478218,54,69.22,53.6,9.17
avarua,100,CK,1561478219,73,-21.21,73.4,4.7
arlit,0,NE,1561478220,5,18.74,110.21,3.98
hobart,0,AU,1561478209,75,-42.88,48.99,9.17
turan,100,RU,1561478224,76,52.15,44.51,2.84
sadiqabad,25,PK,1561478224,20,28.31,107.15,4.61
yellowknife,20,CA,1561478040,48,62.45,66.2,6.93
east london,90,ZA,1561478226,93,-33.02,57.2,18.34
mataura,23,NZ,1561477987,84,-46.19,45.0,3.0
kiunga,99,PG,1561478227,99,-6.12,72.77,2.71
lasa,0,CY,1561478227,70,34.92,89.01,11.41
chuy,100,UY,1561478228,84,-33.69,54.77,16.91
oga,49,NG,1561478232,74,8.18,80.15,7.36
kapaa,20,US,1561478203,83,22.08,78.8,4.7
carnarvon,0,ZA,1561478233,22,-30.97,58.37,10.38
havoysund,75,NO,1561478234,81,71.0,48.2,26.4
yenagoa,90,NG,1561478234,78,4.92,80.51,7.65
choya,56,RU,1561478236,91,52.01,49.19,4.12
auki,15,NG,1561478237,41,12.18,91.49,6.11
maragogi,74,BR,1561478237,63,-9.01,81.59,8.59
ushuaia,75,AR,1561478238,92,-54.81,30.2,5.82
nicoya,20,CR,1561478238,79,10.15,86.0,4.7
saint-leu,100,RE,1561478239,88,-21.15,71.6,3.36
beringovskiy,100,RU,1561478239,94,63.05,42.53,11.3
cape town,20,ZA,1561478037,67,-33.93,63.0,14.99
jiangyou,96,CN,1561478240,98,31.78,62.69,1.12
new norfolk,0,AU,1561478240,75,-42.78,48.99,9.17
portland,90,US,1561478241,76,45.52,61.0,5.82
leningradskiy,52,RU,1561478241,93,69.38,33.53,7.94
esperance,20,TT,1561478243,52,10.24,89.6,16.11
mount gambier,0,AU,1561478243,93,-37.83,39.2,6.93
lagoa,20,PT,1561478310,69,37.14,77.0,13.87
saint-philippe,90,CA,1561478311,88,45.36,68.0,4.7
sao filipe,4,CV,1561478312,80,14.9,75.47,19.57
huangmei,31,CN,1561478313,95,30.1,70.25,5.5
ahuimanu,75,US,1561478313,100,21.44,78.8,2.59
shetpe,0,KZ,1561478313,14,44.14,97.97,12.77
puerto ayora,90,EC,1561478314,78,-0.74,75.2,14.99
lorengau,10,PG,1561478316,84,-2.02,79.97,4.41
kaura namoda,55,NG,1561478317,34,12.59,94.55,4.63
kailua,75,US,1561478318,100,21.39,78.8,2.59
zulueta,75,CU,1561478320,62,22.37,86.0,6.93
ponta do sol,10,BR,1561478321,51,-20.63,74.57,8.55
victoria,75,BN,1561478304,83,5.28,82.4,4.54
telhara,24,IN,1561478329,49,21.03,92.57,3.87
sola,75,FI,1561478332,100,62.78,55.0,3.36
katete,100,UG,1561478338,90,-0.78,67.55,1.86
songea,53,TZ,1561478339,56,-10.68,69.89,5.44
meulaboh,63,ID,1561478340,69,4.14,85.37,7.36
shangqiu,28,CN,1561478340,57,34.42,78.01,1.01
ostrovnoy,78,RU,1561478340,74,68.05,45.59,4.36
tiznit,0,MA,1561478351,88,29.7,69.35,8.46
pevek,15,RU,1561478351,69,69.7,36.95,15.48
punta arenas,20,CL,1561478353,74,-53.16,37.4,14.99
cabedelo,75,BR,1561478353,74,-6.97,80.6,11.41
najran,40,SA,1561477854,13,17.54,98.6,6.93
xining,77,CN,1561478354,93,36.62,51.35,4.0
lebu,75,ET,1561478356,60,8.96,68.0,6.02
vallenar,0,CL,1561478357,57,-28.58,57.83,1.32
san patricio,100,PY,1561478357,61,-26.98,72.41,11.81
hermanus,59,ZA,1561478222,87,-34.42,60.01,8.99
vila velha,20,BR,1561478358,58,-3.71,86.0,18.34
jamestown,0,AU,1561478347,53,-33.21,46.49,6.08
hilo,1,US,1561478140,83,19.71,71.6,5.82
tuktoyaktuk,90,CA,1561478359,86,69.44,37.4,19.46
dikson,0,RU,1561478361,87,73.51,31.73,9.89
avera,1,US,1561478362,62,33.19,90.0,9.17
thompson,90,CA,1561478363,100,55.74,55.4,4.7
qaanaaq,100,GL,1561478365,96,77.48,33.35,1.57
arraial do cabo,0,BR,1561478305,51,-22.97,86.0,10.29
port elizabeth,90,US,1561478365,66,39.31,84.2,8.05
faya,40,SA,1561478365,39,18.39,82.4,14.99
alice springs,0,AU,1561478416,38,-23.7,41.0,4.7
vaini,43,IN,1561478416,85,15.34,79.79,4.72
hamilton,75,CA,1561478161,68,43.26,77.0,12.75
praia da vitoria,75,PT,1561478418,82,38.73,70.0,15.3
the valley,20,AI,1561478418,66,18.22,86.0,14.99
longyearbyen,40,NO,1561478418,81,78.22,42.8,11.41
airai,5,TL,1561478418,70,-8.93,66.47,6.35
nikolskoye,0,RU,1561478420,40,59.7,71.01,11.18
gananoque,40,CA,1561478421,83,44.33,77.0,12.75
cherskiy,1,RU,1561478422,43,68.75,60.71,5.59
samarai,100,PG,1561478424,96,-10.62,73.67,6.78
ribeira grande,75,PT,1561478425,56,38.52,69.8,16.11
saint george,20,GR,1561478360,31,39.45,89.6,8.05
kaitangata,26,NZ,1561478425,80,-46.28,41.0,7.0
torbay,40,CA,1561478221,67,47.66,62.01,8.05
salalah,75,OM,1561478425,94,17.01,84.2,10.29
labuhan,0,ID,1561478427,96,-2.54,72.59,2.26
mar del plata,3,AR,1561478403,54,-46.43,38.75,17.76
alghero,0,IT,1561478427,28,40.56,96.8,17.22
tarauaca,1,BR,1561478428,58,-8.16,84.65,4.34
bela,27,PK,1561478437,43,26.23,89.69,10.89
vostok,100,RU,1561478437,98,46.45,64.31,4.14
bredasdorp,97,ZA,1561478437,77,-34.53,60.8,18.34
petropavlovsk-kamchatskiy,75,RU,1561478158,100,53.05,44.6,2.24
sao miguel do araguaia,0,BR,1561478441,26,-13.28,91.67,7.43
blagoyevo,41,RU,1561478443,44,63.37,56.03,4.88
fairbanks,75,US,1561478448,76,64.84,57.0,4.7
kavieng,23,PG,1561478449,70,-2.57,85.01,6.91
khatanga,95,RU,1561478260,33,71.98,79.43,7.23
port lincoln,0,AU,1561478450,55,-34.72,58.19,15.9
uray,55,RU,1561478450,49,60.13,61.07,3.78
ende,7,ID,1561478452,69,-8.84,77.81,11.92
antalaha,30,MG,1561478453,98,-14.9,65.75,0.83
bethel,40,US,1561478336,93,60.79,59.0,4.7
suntar,100,RU,1561478454,94,62.16,59.27,4.05
tasiilaq,75,GL,1561478455,93,65.61,41.0,18.34
cap malheureux,75,MU,1561478455,94,-19.98,72.0,18.34
bilma,67,NE,1561478457,14,18.69,103.73,4.9
oktyabrskoye,0,RU,1561478458,77,56.73,66.99,4.47
cockburn town,56,TC,1561478459,81,21.46,80.69,13.13
bereda,20,ES,1561478459,64,43.27,78.01,10.29
tautira,0,PF,1561478463,73,-17.73,71.6,6.93
ayia galini,20,GR,1561478463,62,35.1,87.8,17.22
puerto escondido,40,MX,1561477939,69,15.86,80.6,8.05
gela,5,IT,1561478466,69,37.07,87.8,11.41
huntsville,20,US,1561478519,78,34.73,84.0,5.23
nara,46,JP,1561478525,73,34.68,73.99,6.93
alice town,0,BS,1561478525,71,25.72,84.29,8.12
ndjole,74,GA,1561478527,59,-0.18,81.95,3.47
barrow,0,AR,1561478528,44,-38.31,47.21,22.35
seoul,1,KR,1561478410,73,37.57,75.2,1.12
mareeba,75,AU,1561478530,72,-16.99,68.0,12.75
rio gallegos,0,AR,1561478531,55,-51.62,37.4,14.99
hithadhoo,75,MV,1561478306,70,-0.6,84.83,6.8
selikhino,84,RU,1561478531,88,50.37,45.23,5.35
natchez,1,US,1561478535,88,31.56,78.8,4.7
kutum,85,SD,1561478535,10,14.2,95.27,13.56
cidreira,100,BR,1561478535,46,-30.17,78.17,19.73
aksu,0,KZ,1561478537,82,52.04,68.0,6.71
faanui,68,PF,1561478537,75,-16.48,78.17,18.54
lannion,0,FR,1561478539,72,48.73,69.8,9.17
lincoln,75,GB,1561478491,100,53.23,60.8,11.41
banamba,0,ML,1561478541,12,13.55,106.43,3.65
chanute,0,US,1561478541,78,37.68,78.8,13.82
semibratovo,0,RU,1561478542,48,57.3,64.4,8.95
tupik,13,RU,1561478543,87,54.43,48.83,2.73
roma,0,IT,1561478339,43,41.89,93.2,8.05
yumen,100,CN,1561478545,17,40.29,80.51,8.79
butaritari,100,KI,1561478545,76,3.07,83.21,12.01
gander,75,CA,1561478545,71,48.95,57.0,5.82
poum,20,MK,1561478545,30,41.28,82.4,6.93
severo-kurilsk,100,RU,1561478545,98,50.68,41.99,1.03
margate,0,AU,1561478546,75,-43.03,48.0,9.17
saskylakh,66,RU,1561478546,46,71.97,71.51,7.9
kodiak,1,US,1561478539,36,39.95,80.01,9.17
tuatapere,100,NZ,1561478367,84,-46.13,45.0,3.0
lagos,88,NG,1561478536,82,6.46,79.97,12.28
verkhnyaya inta,100,RU,1561478547,76,65.99,44.69,13.38
umm lajj,0,SA,1561478497,66,25.02,86.81,18.92
pekalongan,0,ID,1561478549,83,-6.89,72.95,5.32
sungaipenuh,100,ID,1561478400,92,-2.08,74.75,1.19
chicama,90,PE,1561478549,77,-7.84,66.2,10.29
maningrida,0,AU,1561478549,64,-12.05,59.27,8.03
arroyos y esteros,40,PY,1561478550,54,-25.05,78.8,13.87
hovd,75,NO,1561478552,77,63.83,63.0,3.36
hasaki,20,JP,1561478552,100,35.73,66.2,2.24
oussouye,20,SN,1561478552,70,12.49,96.8,6.93
matagami,98,NG,1561478553,78,9.67,76.73,3.71
gumdag,0,TM,1561478555,6,39.2,97.43,13.22
bambous virieux,75,MU,1561478556,94,-20.34,72.0,18.34
dingle,95,PH,1561478561,88,11.0,76.19,1.7
puerto carreno,75,CO,1561478613,88,6.19,78.8,3.36
castro,75,CL,1561478583,87,-42.48,42.8,10.29
myitkyina,99,MM,1561478613,97,25.38,73.67,2.73
provideniya,96,RU,1561478613,80,64.42,38.39,12.1
nantucket,90,US,1561478404,93,41.28,75.99,11.41
atuona,23,PF,1561478556,75,-9.8,81.23,20.0
kargasok,40,RU,1561478614,68,59.06,65.57,1.61
santa maria,0,BR,1561478328,47,-29.69,78.8,19.46
berlevag,75,NO,1561478622,62,70.86,53.6,20.8
georgetown,40,GY,1561478558,79,6.8,86.0,9.17
puerto rico,96,PY,1561478622,41,-26.82,80.15,9.35
touros,40,BR,1561478623,62,-5.2,86.0,13.87
tiksi,67,RU,1561478582,56,71.64,53.69,2.64
padang,1,ID,1561478623,70,-0.92,83.93,3.6
sitka,13,US,1561478623,50,37.17,79.0,17.0
richards bay,88,ZA,1561478623,69,-28.77,69.35,10.0
sarkand,4,KZ,1561478623,39,45.41,71.87,5.79
lavrentiya,93,RU,1561478624,86,65.58,34.61,6.8
clinton,1,US,1561478629,69,41.84,80.6,6.93
sur,0,OM,1561478498,67,22.57,85.91,11.56
price,1,US,1561478632,36,39.6,72.0,4.12
deer lake,75,CA,1561478632,62,49.18,53.6,8.05
westport,75,IE,1561478369,72,53.8,66.99,6.93
clyde river,75,CA,1561478636,80,70.47,41.0,9.17
aljezur,0,PT,1561478449,61,37.31,77.0,4.0
waddan,0,LY,1561478637,7,29.16,107.33,9.8
belle fourche,1,US,1561478637,55,44.67,70.0,6.93
inhambane,40,MZ,1561478637,64,-23.87,71.6,9.17
zaoyang,0,CN,1561478637,67,32.12,76.37,6.38
vardo,40,US,1561478607,61,39.62,82.99,11.41
norman wells,90,CA,1561478637,93,65.28,51.8,16.11
bulanash,100,RU,1561478638,96,57.28,52.97,6.55
nyurba,0,RU,1561478638,89,63.29,59.09,1.3
hervey bay,75,AU,1561478638,93,-25.3,60.01,8.05
te anau,0,NZ,1561478616,81,-45.41,38.21,3.11
asyut,0,EG,1561478638,21,27.18,104.0,11.41
kalmunai,100,LK,1561478638,64,7.42,83.57,1.97
abha,40,SA,1561478639,39,18.22,82.4,14.99
tartagal,90,AR,1561478639,93,-22.52,62.6,17.22
san andres,100,PH,1561478493,87,13.32,79.61,3.44
mwene-ditu,30,CD,1561478639,20,-7.01,88.07,4.7
araouane,0,ML,1561478639,6,18.9,113.09,7.56
pangody,84,RU,1561478639,46,65.85,50.09,4.05
bonavista,95,CA,1561478621,85,48.65,51.01,5.01
husavik,100,CA,1561478690,80,50.56,69.01,5.99
nebolchi,100,RU,1561478690,39,59.12,69.71,4.14
jumla,0,NP,1561478690,92,29.28,55.13,3.96
nanortalik,80,GL,1561478555,89,60.14,38.75,7.58
iranshahr,0,IR,1561478690,5,27.21,105.8,6.93
ambilobe,5,MG,1561478690,80,-13.19,74.03,3.74
burnie,0,AU,1561478691,97,-41.05,41.0,5.99
taitung,100,TW,1561478691,87,22.76,62.51,4.23
port alfred,99,ZA,1561478691,94,-33.59,57.99,8.01
kahului,1,US,1561478692,78,20.89,73.0,5.82
pokrovsk,14,UA,1561478692,64,48.28,77.09,15.84
san quintin,100,PH,1561478692,85,17.54,77.63,2.71
grand-santi,15,GF,1561478692,57,4.27,87.35,4.36
meadow lake,75,CA,1561478545,82,54.13,59.0,5.82
beian,0,NO,1561478693,76,63.66,63.0,14.99
tommot,97,RU,1561478694,92,58.97,51.71,1.83
denpasar,20,ID,1561478442,88,-8.65,77.0,13.87
mbanza-ngungu,42,CD,1561478694,33,-5.25,87.71,6.31
sault sainte marie,75,CA,1561478662,73,46.49,71.6,9.17
ulaanbaatar,20,MN,1561478530,58,47.92,55.4,4.47
pacific grove,90,US,1561478524,87,36.62,62.01,7.2
tome,1,JP,1561478695,96,38.69,57.83,1.92
udachnyy,0,RU,1561478679,43,66.42,69.8,2.24
lugo,78,ES,1561478695,50,43.01,79.0,3.0
zhicheng,13,CN,1561478696,46,35.04,75.83,4.76
bilibino,0,RU,1561478696,54,68.06,47.21,3.31
la libertad,0,PE,1561478696,10,-16.38,66.2,6.93
liverpool,75,GB,1561478552,77,53.41,70.0,11.41
vanderhoof,100,CA,1561478696,86,54.02,49.55,3.27
albanel,75,CA,1561478696,59,48.88,75.0,4.7
gat,1,SN,1561478697,34,14.69,91.85,13.62
dehloran,0,IR,1561478616,6,32.69,100.13,17.67
yarmouth,75,GB,1561478697,69,50.71,73.99,2.24
cabo san lucas,5,MX,1561478613,42,22.89,90.0,3.36
diamantino,0,BR,1561478697,34,-14.4,85.37,12.35
alofi,100,NU,1561478615,94,-19.06,69.8,5.82
kangasala,0,FI,1561478697,45,61.46,66.2,11.41
taveta,75,TZ,1561478698,83,-3.4,69.8,6.93
matadi,68,CD,1561478698,35,-5.83,88.79,5.82
ikalamavony,0,MG,1561478698,56,-21.17,65.93,2.37
hobyo,1,SO,1561478698,67,5.35,80.15,26.84
riyadh,0,SA,1561478416,6,24.63,107.6,10.29
muros,20,ES,1561478525,41,42.77,75.99,4.7
cortez,1,US,1561478699,32,37.35,75.0,3.76
halifax,20,CA,1561478572,59,44.65,71.01,9.17
neiafu,40,TO,1561478699,88,-18.65,75.2,5.82
amapa,20,HN,1561478750,74,15.09,84.2,4.7
goundam,0,ML,1561478734,7,16.42,110.75,2.15
adrar,0,DZ,1561478750,4,27.87,118.4,11.41
presidencia roque saenz pena,100,AR,1561478519,52,-26.79,54.77,18.81
ossora,100,RU,1561478619,84,59.24,48.29,3.29
